tweet_id	tweet_date	tweet_text
836950062123085824	2017-03-01 14:43:39	Q: imagine a ladder from 0 to 10 (best possible life). Where do you see yourself? Reveals how people perceive their own lives #GFI4SD #SDGs
836949984234852353	2017-03-01 14:43:20	Does science have a language problem? From #coffee to #climate change and the better language of @BrianCoffeeSpot https://t.co/u4S8cOIdsx https://t.co/e9pVU52oZo
836949913216901123	2017-03-01 14:43:03	The last time humans experienced atmospheric CO2 levels as high as they are now was... never. Humans didn't exist. #climate #climatechange https://t.co/Cm6Iy2BdaF
836949905725849600	2017-03-01 14:43:01	"""U.S. Crude Oil Imports from Saudi Arabia and Iraq Recently Increased, But May Decline Soon"" https://t.co/H6YCZuWzeO #climatechange"
836949898792611840	2017-03-01 14:43:00	Trump plans to roll back Obama’s #climate policies, but most American voters support regulating #CO2: https://t.co/j6L03wleuu #climatechange https://t.co/6pyIEKSCUF
836949891393933312	2017-03-01 14:42:58	Happy #InternationalPolarBearDay! Who agrees that we need to act against #climatechange &amp; protect these magnificent animals? https://t.co/PWgLrnVgMV
837182171353923584	2017-03-02 06:05:58	Antarctica hits record high temperature at balmy 63.5°F #climatechange #ClimateChangeIsReal https://t.co/CPRIxjof8c via @Reuters
837182144652926976	2017-03-02 06:05:52	a crash course in #verticalfarming and how it works: &gt; https://t.co/doKbtUl76Y #urbanfarming #sustainability https://t.co/7prHcbD3ug
837182131465936896	2017-03-02 06:05:48	What has selfishness got to do with the destruction of the #environment? A lot, a Catholic archbishop said. https://t.co/ujhK7IZlHH
837182124620918785	2017-03-02 06:05:47	The session will focus on achievements in the Sub Saharan region on maternal &amp; Child mortality, HIV/AIDS, malaria &amp; other diseases. #SDGs
837182110804787202	2017-03-02 06:05:43	Madness: Scientists Just Confirmed The Hottest Day In Antarctica: 65F / 17.5C https://t.co/uwroBfQRGv #climatechange https://t.co/zQNTSGGN8F
837182094082199554	2017-03-02 06:05:39	The last time humans experienced atmospheric CO2 levels as high as they are now was... never. Humans didn't exist. #climate #climatechange https://t.co/Cm6Iy2BdaF
837182043100323840	2017-03-02 06:05:27	Evaluating Highest Temperature Extremes in the Antarctic #environment https://t.co/abuLR1HLAs
837182010510741504	2017-03-02 06:05:20	Conservationists warn of #environment threat posed by Brexit https://t.co/nT3qPP5h5p
837181992387162113	2017-03-02 06:05:15	The last time humans experienced atmospheric CO2 levels as high as they are now was... never. Humans didn't exist. #climate #climatechange https://t.co/Cm6Iy2BdaF
837181978868797440	2017-03-02 06:05:12	The last time humans experienced atmospheric CO2 levels as high as they are now was... never. Humans didn't exist. #climate #climatechange https://t.co/Cm6Iy2BdaF
837181964402716672	2017-03-02 06:05:09	Don't forget to register for our 12th Annual #Genomics of #Energy &amp; #Environment Meeting https://t.co/7cEeHFsqYL #JGI2017 https://t.co/MpMlqm1ru4
837181941451468801	2017-03-02 06:05:03	Ar Shiela Sri Prakash @ShilpaArch talks on revitalizing cities to be adaptive to the changing #environment #GRIHA4All @GRIHAIndia @mnreindia https://t.co/DT7ii6Kd8i
837181888410308608	2017-03-02 06:04:50	The job of the @EPA is not to restore state rights or protect farmers. It's to protect the #ENVIRONMENT! https://t.co/KAkkYvu93h
837181828968546305	2017-03-02 06:04:36	How We Can Feed An Extra 2 Billion People By 2050 – It’s Simple https://t.co/o86whgIwzW #sustainability #food #agriculture
837181811096592385	2017-03-02 06:04:32	https://t.co/AByE3ZQo4s Children's Climate Lawsuit Aims to Unearth Documents from Oil Group API #climate #law #judiciary https://t.co/IGsBpkdtFo
837181802863173634	2017-03-02 06:04:30	At this rate we may get around to facing the #truth of the situation at hand re #climatechange by the time the next #iceage gets here! Wow!!
837181764300865537	2017-03-02 06:04:21	https://t.co/luuD8Ppr1n Climate Change? A Bad Year For Snow Jobs #climate #cartoon #snowjob https://t.co/BSg5DDOSdv
837181701436534785	2017-03-02 06:04:06	Sydney’s Swelter Has a Climate Change Link, Scientists Say https://t.co/yjUpz80blC #GlobalWarming #Weather #ClimateCentral #Science https://t.co/LjfuV2EfBX
837181679508729858	2017-03-02 06:04:01	Study Shows Massive Global Permafrost Melt Underway While #TrumpAddress Mentions #Climate Not Once https://t.co/EKbniz57qW https://t.co/nXySXtXyzq
