,social_issues,politics_and_renewables,progressive_politics,food_agriculture,political_ecology,radical_chic,sustainable_industry
836950220659376131,0.0004069321270550966,0.00024832416349544913,0.0006621258046526138,0.00014316459516731228,0.00019639590103634393,0.0001981118052886774,0.0018542630678872521
836950246043308033,0.0015134566820400148,0.000904106363412088,0.00204915044594232,0.0009499171753194077,0.0010822737023942627,0.0009758216523773674,0.0006728645611757018
836950247452606466,0.001222432933488022,0.0016953370970385672,0.0008422401268907098,0.0014696168018203406,0.0010170073447731914,0.0008945550890314586,0.0029034006401605097
836950292130328577,0.00034191550749198716,0.0005848620998123748,0.00026431009630061757,0.0004503276343423853,0.0009641922302357495,0.00061203738188954,0.0008665037422677951
836950293103271936,0.001249971551359065,0.0013586991149560975,0.0008406900163354842,0.0008840920920872634,0.0003477473421718757,0.00101198296957726,0.001016222240555917
836950304243527681,0.00042495701332249253,0.0004619336116660241,0.0002857971278816085,0.0003005605137024041,0.00011819614792143684,0.00034404515335866373,0.0003454727845209851
836950305472393216,0.00042495701332249253,0.0004619336116660241,0.0002857971278816085,0.0003005605137024041,0.00011819614792143684,0.00034404515335866373,0.0003454727845209851
836950311688351745,0.00042495701332249253,0.0004619336116660241,0.0002857971278816085,0.0003005605137024041,0.00011819614792143684,0.00034404515335866373,0.0003454727845209851
836950315198926848,0.00042495701332249253,0.0004619336116660241,0.0002857971278816085,0.0003005605137024041,0.00011819614792143684,0.00034404515335866373,0.0003454727845209851
836950321779867648,0.0002973729573952724,0.0005178971090852749,0.0001744346120904499,4.823110473234192e-05,0.0006309124545438044,0.00011412054664732812,0.0006539010282050112
836950335658704898,0.0002456196582932601,0.0020976116012505312,0.00037717260197412165,0.00014850800445386105,0.00029601227004621506,0.00011086077781339879,0.00024620668203198423
836950341438484481,0.0023893903208957023,0.001978186483956751,0.002925968398722196,0.002264954179203311,0.0005545902508152664,0.0015041111136766439,0.0022460722632011137
836950356370276357,0.00022565027614784386,0.0001868148750992202,0.0002763223664572571,0.0002138997854969695,5.23580231354026e-05,0.0001420402117671905,0.00021210979744871195
836950363727138816,0.00022565027614784386,0.0001868148750992202,0.0002763223664572571,0.0002138997854969695,5.23580231354026e-05,0.0001420402117671905,0.00021210979744871195
836950371868291074,0.00022565027614784386,0.0001868148750992202,0.0002763223664572571,0.0002138997854969695,5.23580231354026e-05,0.0001420402117671905,0.00021210979744871195
836950384711172096,0.00022565027614784386,0.0001868148750992202,0.0002763223664572571,0.0002138997854969695,5.23580231354026e-05,0.0001420402117671905,0.00021210979744871195
836950389706657792,0.00022565027614784386,0.0001868148750992202,0.0002763223664572571,0.0002138997854969695,5.23580231354026e-05,0.0001420402117671905,0.00021210979744871195
836950393271771136,0.0015134566820400148,0.000904106363412088,0.00204915044594232,0.0009499171753194077,0.0010822737023942627,0.0009758216523773674,0.0006728645611757018
836950403698716672,0.0013555569136456233,0.004197730361713902,0.0013657850429130405,0.002112806160619386,0.003907828931266906,0.002766140307152954,0.008747833892828068
836950407486263297,0.0003705120694541364,0.00033118243500291516,0.0002791138851750598,0.0006323796897451342,0.0005841168784848619,0.00014404008922155035,0.0005310677179817664
836950409159684096,8.149341533696564e-05,8.612647683364115e-06,0.0016832149056603607,7.4331550808115354e-06,7.014297978115087e-05,0.00016903938900115234,4.006895117143306e-05
836950409658970114,0.0015134566820400148,0.000904106363412088,0.00204915044594232,0.0009499171753194077,0.0010822737023942627,0.0009758216523773674,0.0006728645611757018
836950432626913280,5.189951379356879e-05,0.00010678216000130728,0.00019414673521313917,0.0005474989396576094,0.0002180811698640884,0.0024224563643020416,0.0012425641856394197
836950435512610817,2.2047660302575364e-05,4.537570865177849e-05,8.249495757101959e-05,0.00023267431389081207,9.266623469288502e-05,0.0010295298371344585,0.0005280764058048943
