,sustainable_development,greta,endangered_habitats,innovation,renewable_energy,mixed,developement_goals
1101574686268223488,0.00017018010693403603,8.245022562039221e-05,6.938622193697332e-05,0.00011041402051370233,0.00012154282251672884,0.00014806186771150804,0.00010254595404937986
1101574689447526400,0.00035153368046723444,0.00045586508307027317,0.0002530961182891615,0.0003316610672622668,0.0012433703414901312,0.00028399659377005093,0.0013258682601108727
1101574691540459520,7.296519291899685e-05,0.00022007016986384556,7.328100950335418e-05,0.0036229307026324643,7.31351785199063e-05,0.00011128713803338937,8.179147330648328e-05
1101574699660660736,3.122341609016403e-05,9.334204398617046e-05,3.5037944950161e-05,0.0015397066231239132,3.114077724433092e-05,4.660462317529192e-05,3.466855287359656e-05
1101574706023579649,0.0005790761648877103,0.001164081301886494,0.0005580169337339568,0.0007627296317798219,0.0010153110667808446,0.0017730593487212895,0.0005140014968656834
1101574733370441728,8.389011445195365e-05,0.0001659517650776,8.348356096248995e-05,0.00010756036211445457,0.00014353724788876995,0.0002526275451321867,7.206550746143787e-05
1101574749161967617,0.00020991962809741312,0.00026151091558085674,0.00026983014054528286,0.00033141189234310597,0.00029290973114092336,0.0006697934871612666,0.00024265926936096343
1101574752139829248,8.389011445195365e-05,0.0001659517650776,8.348356096248995e-05,0.00010756036211445457,0.00014353724788876995,0.0002526275451321867,7.206550746143787e-05
1101574759031234562,0.00016440789580178097,0.00016621668974745892,0.0001861356462626547,0.00019537606123237825,0.00019686234766161983,0.00022419101984642246,0.00018499900500167129
1101574761967177728,0.00035964393307151636,9.033855199929526e-05,9.01892183269211e-05,0.00025742481231285047,0.00015204595368577004,0.0009203008104574896,0.0005722941884408355
1101574775988781056,0.0008918840190706587,0.0008231122712486774,0.0007500408786609473,0.000791577453568111,0.0007734395589421234,0.000547715795783915,0.0007594423217055557
1101574833203220480,0.0024536973116246756,0.0011714630326616886,0.006102076405474296,0.001651822244185211,0.0014809923552966259,0.0005266904112464114,0.0005864845816899187
1101574836248285184,7.935824469785456e-05,2.2134767361430083e-05,4.243776633733792e-05,1.2321566213345163e-05,1.3437654600880556e-05,4.596915965326078e-05,5.748176549030387e-06
1101574848416018433,0.0001515009935510502,0.00016166009281796948,0.00015888746396442124,0.0001322624085394583,0.00013953302785574653,9.957557650003106e-05,0.00017416182824536093
1101574855403671553,0.000109305564142887,0.0006695929115288098,0.0001914965429658754,9.021216569965163e-05,0.0005072538806455147,9.381601608126556e-05,0.00032640118523785043
1101574855793803266,0.00026233710504449466,0.00011768870316690131,9.25228109858076e-05,0.0001458922605076257,0.0002457820672015201,9.059547212486856e-05,0.00012822557019605765
1101574883975282689,0.0016473742029345362,0.0008446897767119802,0.0015976612334834546,0.0017137710885880752,0.0007672869153206116,0.0008117017600834409,0.00034812031438718316
1101574883983556608,0.00020125042977212908,0.00010400442734617574,0.00020136637596301435,0.0002075012288729994,9.288825924013569e-05,0.00010045152651757982,4.156404543262419e-05
1101574894511370240,0.00020125042977212908,0.00010400442734617574,0.00020136637596301435,0.0002075012288729994,9.288825924013569e-05,0.00010045152651757982,4.156404543262419e-05
1101574897959165952,0.00020125042977212908,0.00010400442734617574,0.00020136637596301435,0.0002075012288729994,9.288825924013569e-05,0.00010045152651757982,4.156404543262419e-05
1101574933170307072,0.00020125042977212908,0.00010400442734617574,0.00020136637596301435,0.0002075012288729994,9.288825924013569e-05,0.00010045152651757982,4.156404543262419e-05
1101574962152796160,0.00012073148684702689,0.00015598519889103795,7.73249613316591e-05,0.0001191493495027943,8.581170066435489e-05,6.0025763905508635e-05,7.700860332854788e-05
1101574978175086593,0.00012073148684702689,0.00015598519889103795,7.73249613316591e-05,0.0001191493495027943,8.581170066435489e-05,6.0025763905508635e-05,7.700860332854788e-05
1101575026703130624,7.935824469785456e-05,2.2134767361430083e-05,4.243776633733792e-05,1.2321566213345163e-05,1.3437654600880556e-05,4.596915965326078e-05,5.748176549030387e-06
1101575035662282752,0.001742609666072584,0.00033092900678215274,0.0002918359227615861,0.0003638377027650526,0.0002856360749162757,0.00044846055569489415,0.00948724529740357
1101575060341604363,0.0012033202780424319,0.0009762011395292655,0.0009705784828033035,0.000952235979177732,0.0010733137532832448,0.0007470105911962468,0.001047425905181767
1101575062530985986,0.00012073148684702689,0.00015598519889103795,7.73249613316591e-05,0.0001191493495027943,8.581170066435489e-05,6.0025763905508635e-05,7.700860332854788e-05
1101575065710350337,0.0001251556331741806,0.00016953893834244384,0.00015316048825857534,0.00025322986716538133,0.0001553646080407201,0.0002504862274254532,0.00012361356424708694
1101575100229476353,0.0002639517925213561,0.00011076002140855023,0.00011815176656526146,0.0001992636839722591,9.189267515116121e-05,0.000566368646734508,5.168364989893352e-05
1101575101827502081,0.0001003694854795113,0.0001665683527116397,7.158176244373184e-05,0.0001465488825660088,8.977959131979289e-05,0.00010206333180974856,0.00041417368483613875
1101575103693885442,0.00012073148684702689,0.00015598519889103795,7.73249613316591e-05,0.0001191493495027943,8.581170066435489e-05,6.0025763905508635e-05,7.700860332854788e-05
1101575105430409217,0.0024536973116246756,0.0011714630326616886,0.006102076405474296,0.001651822244185211,0.0014809923552966259,0.0005266904112464114,0.0005864845816899187
1101575112049020928,0.0001515009935510502,0.00016166009281796948,0.00015888746396442124,0.0001322624085394583,0.00013953302785574653,9.957557650003106e-05,0.00017416182824536093
1101575121431601153,0.0010854006432794968,0.001524367572838851,0.0009128499375195601,0.000884163366014353,0.0014119541170899694,0.0008267900852673508,0.0009230902373746473
1101575133863571457,0.0008206831078077661,0.0009745442515219178,0.0006332871367660294,0.0005882889214814496,0.001053427739913535,0.0009260926980853343,0.0004880303993545266
1101575140750606336,0.00011760833926120655,0.00013904745648185812,9.566417223988832e-05,8.285667556824171e-05,0.00014894287931510654,0.00013264049135842577,6.843724540520562e-05
1101575176792297472,0.00011760833926120655,0.00013904745648185812,9.566417223988832e-05,8.285667556824171e-05,0.00014894287931510654,0.00013264049135842577,6.843724540520562e-05
1101575198271246336,0.00011760833926120655,0.00013904745648185812,9.566417223988832e-05,8.285667556824171e-05,0.00014894287931510654,0.00013264049135842577,6.843724540520562e-05
1101575207779790851,0.00011760833926120655,0.00013904745648185812,9.566417223988832e-05,8.285667556824171e-05,0.00014894287931510654,0.00013264049135842577,6.843724540520562e-05
1101575214440288258,6.538671816349372e-05,0.0003206413868688153,0.0013361390255203995,8.859124750522211e-05,0.00018879349877088614,9.106616204200609e-05,0.0007279608570269126
1101575232840716288,0.0002693126732687821,0.00030150327712192816,0.00016751036133255985,0.00014078229664746342,0.0015317767583980266,0.0001376181210772706,0.0009622621273547465
1101575251643772928,4.70254299535757e-05,5.223784216630496e-05,3.3762520839549996e-05,2.37658501720925e-05,0.0002601307668391812,2.39064843052778e-05,0.00016277966438819758
1101575251828314116,4.70254299535757e-05,5.223784216630496e-05,3.3762520839549996e-05,2.37658501720925e-05,0.0002601307668391812,2.39064843052778e-05,0.00016277966438819758
1101575257658482690,6.452419734418892e-05,0.000438866131539243,0.00018170006902548913,0.0001664953829562996,0.001386957494437406,6.204996288531546e-05,6.948753437489886e-05
1101575271768121344,0.0001745531430345348,0.0001383941835012272,0.00017308659337340193,0.00018439517569109658,0.0001698726622967989,0.0001321069358156998,0.00014648153740753577
1101575297684725767,0.00021552068674009678,0.002286298066310245,0.0002103028391915217,0.0019960539179074608,0.00028664800513007694,0.0009452907498390099,0.00028160270981079867
1101575311936770048,7.935824469785456e-05,2.2134767361430083e-05,4.243776633733792e-05,1.2321566213345163e-05,1.3437654600880556e-05,4.596915965326078e-05,5.748176549030387e-06
1101575328399388672,0.0010854006432794968,0.001524367572838851,0.0009128499375195601,0.000884163366014353,0.0014119541170899694,0.0008267900852673508,0.0009230902373746473
1101748163898208257,0.00012073148684702689,0.00015598519889103795,7.73249613316591e-05,0.0001191493495027943,8.581170066435489e-05,6.0025763905508635e-05,7.700860332854788e-05
1101748194852118528,0.0004363052315301932,0.00043860092560523827,0.00045344216748927535,0.0006169687435187143,0.0005505673397734637,0.0006185987082861946,0.0004796147267113084
1101748209913749504,0.000184443912428291,0.0001859510355376741,0.00018935831845980723,0.0002621185572404592,0.00023398654461563584,0.0002618766499826024,0.00020364550802858168
1101748224400990208,0.000184443912428291,0.0001859510355376741,0.00018935831845980723,0.0002621185572404592,0.00023398654461563584,0.0002618766499826024,0.00020364550802858168
1101748226397532160,0.0001515009935510502,0.00016166009281796948,0.00015888746396442124,0.0001322624085394583,0.00013953302785574653,9.957557650003106e-05,0.00017416182824536093
1101748244382711808,0.0006897722289401322,0.000588906735981276,0.0006117256852721241,0.0005496717954589694,0.0006392522978390276,0.0006300833752842214,0.0006144250690365101
1101748261679960064,0.0019598775950119703,0.0014637181358827405,0.0012333933778854566,0.001472985048797704,0.0014129614888396208,0.0012511012999235065,0.0030701878067620654
1101748278541070337,0.0010854006432794968,0.001524367572838851,0.0009128499375195601,0.000884163366014353,0.0014119541170899694,0.0008267900852673508,0.0009230902373746473
1101748285797212160,0.00028119587398961005,0.0037449543297098367,0.0003197661014807684,0.00023650793275562524,0.0002312522154173401,0.00046631844448573594,0.00032018845822705
1101748326863683584,0.0001320080235980937,0.0007278909218114365,0.00011683806022652496,0.00018825168494072313,0.00010255790772213929,0.00018592833165743944,0.00010753367331384041
1101748363475763200,4.049846353541818e-05,0.0005306720006870736,5.175543886891348e-05,3.3392303055511284e-05,3.2638062437761384e-05,6.721191458710466e-05,4.486455772999835e-05
1101748365874917381,4.049846353541818e-05,0.0005306720006870736,5.175543886891348e-05,3.3392303055511284e-05,3.2638062437761384e-05,6.721191458710466e-05,4.486455772999835e-05
1101748370253758464,4.049846353541818e-05,0.0005306720006870736,5.175543886891348e-05,3.3392303055511284e-05,3.2638062437761384e-05,6.721191458710466e-05,4.486455772999835e-05
1101748398980558849,0.002843471926260704,0.003824745157591475,0.002169008559033619,0.003134568815837245,0.0022914178010386495,0.0021777688796842895,0.0017897386595643867
1101748425018638337,0.00011152293005300062,0.00014913374464022003,9.034314448622112e-05,0.00012059296677638394,8.822682994748548e-05,8.597687249947443e-05,6.840927179612172e-05
1101748438339907585,0.00011152293005300062,0.00014913374464022003,9.034314448622112e-05,0.00012059296677638394,8.822682994748548e-05,8.597687249947443e-05,6.840927179612172e-05
1101748447999418369,0.00011152293005300062,0.00014913374464022003,9.034314448622112e-05,0.00012059296677638394,8.822682994748548e-05,8.597687249947443e-05,6.840927179612172e-05
1101748463480393728,0.0001987428671012875,0.00027818928923397713,0.00014329238909158647,0.0002030187729377975,0.00034501017262300034,0.00013802994226468394,0.00014979095371679023
1101748475459448832,0.00011152293005300062,0.00014913374464022003,9.034314448622112e-05,0.00012059296677638394,8.822682994748548e-05,8.597687249947443e-05,6.840927179612172e-05
1101748481893519360,0.00011152293005300062,0.00014913374464022003,9.034314448622112e-05,0.00012059296677638394,8.822682994748548e-05,8.597687249947443e-05,6.840927179612172e-05
1101748484301033473,0.00011152293005300062,0.00014913374464022003,9.034314448622112e-05,0.00012059296677638394,8.822682994748548e-05,8.597687249947443e-05,6.840927179612172e-05
1101748514017677312,0.00011152293005300062,0.00014913374464022003,9.034314448622112e-05,0.00012059296677638394,8.822682994748548e-05,8.597687249947443e-05,6.840927179612172e-05
1101748600705634304,0.0003133191793275927,0.0004643345872124355,0.0002054903329082648,0.0002832083304512991,0.0006185103399588205,0.0003064006832803496,0.00020895784750595318
1101748653838999552,0.00011152293005300062,0.00014913374464022003,9.034314448622112e-05,0.00012059296677638394,8.822682994748548e-05,8.597687249947443e-05,6.840927179612172e-05
1101748656624025600,0.00021474216214214294,0.00037265141618378155,0.00018564040619624758,0.00022203923622198465,0.0001743363881442205,0.0001907845531859394,0.0001807041740934404
