,politics_and_renewables,nature,food_agriculture,developement_goals,endangered_habitats,innovation,vegan
974757232717062146,4.347742409064947e-05,3.719898622077073e-05,2.4704460692670748e-05,9.9431242015304e-05,1.9578866234824967e-05,0.0002442363845889768,4.706892263465084e-05
974757240405151745,7.933307171910549e-05,3.364953260051226e-05,6.019886334727755e-05,4.324903463615394e-05,0.0006193731496728289,3.504519776045568e-05,3.6630049439590896e-05
974757247233527808,3.528765706508508e-05,1.676787544034016e-05,2.5653839781010363e-05,2.1778596967842056e-05,0.00026415057656850545,1.735597377349958e-05,1.6696138120091767e-05
974757256591011841,0.000587332445939616,0.0002550737915970166,0.0004518107974968472,0.00034029394802640264,0.0046536276072452745,0.00027437048029439894,0.00026024666631902014
974757263222206465,0.006376421863807371,0.0053926375226700215,0.00550545002611672,0.005311337902373433,0.0037103219296893033,0.007979599695589961,0.0051037418405633144
974757276513947649,0.0012725160566871233,0.0008280485385082899,0.0007908359722840027,0.0010113018847948863,0.0006427690284644702,0.001311576989992305,0.0006798478128344067
974757279152078850,0.0049320945029090926,0.003692021988502939,0.015821163454494046,0.00437907199152952,0.001013797590117366,0.0038317991131200063,0.0009008262981952393
974757296696938497,0.001675283802850562,0.0012539284966093527,0.005379097083748621,0.0014879465580850224,0.00034365945638339176,0.0013014020925724526,0.0003044217911660399
974757301545570305,0.0049320945029090926,0.003692021988502939,0.015821163454494046,0.00437907199152952,0.001013797590117366,0.0038317991131200063,0.0009008262981952393
974757322214998018,0.002445072571615556,0.002619959041514698,0.00894048366265643,0.006563822273929904,0.008413771767603979,0.006048757874383327,0.00388491354060966
974757331186651136,0.0002595139431150625,0.00027810285378667104,0.0009498899677917373,0.0006971681194875975,0.0008936449254605869,0.0006424803917640832,0.0004122873861295911
974757335838154752,0.0002595139431150625,0.00027810285378667104,0.0009498899677917373,0.0006971681194875975,0.0008936449254605869,0.0006424803917640832,0.0004122873861295911
974757365781278720,0.0002595139431150625,0.00027810285378667104,0.0009498899677917373,0.0006971681194875975,0.0008936449254605869,0.0006424803917640832,0.0004122873861295911
974757385565741056,0.0011806605771618305,0.0014491960189222089,0.0008861759265197672,0.001525972536209503,0.0014608015757140427,0.000781312969987521,0.0005692981165582307
974757431208218626,0.002674704522989252,0.00040498733207335963,0.00032191794563538224,0.0008000304821540737,0.00034825467361170227,0.001547563450609791,0.00021792498799783985
974757448165871617,0.0007376461271191515,0.00022419967356184447,0.0002614300887192278,0.0004650125155313298,0.0006142089089645524,0.0002994626673831866,0.000246701821661507
974757463449788416,0.0001533405877406454,4.4658507129258094e-05,5.5443477427728954e-05,9.624764096061382e-05,0.0001288462732454556,6.159089086724957e-05,4.712809874907547e-05
974757466310397952,0.0001533405877406454,4.4658507129258094e-05,5.5443477427728954e-05,9.624764096061382e-05,0.0001288462732454556,6.159089086724957e-05,4.712809874907547e-05
974757466910134279,0.0067707862526597655,0.006291441925188606,0.006404256792726689,0.0066051091629495155,0.0069087714310550104,0.008283538929752152,0.005218779192773994
974757467879100418,0.006830968640293687,0.007415038779524733,0.006788832930296786,0.007251795115544891,0.00530435034143511,0.006216443128581935,0.0056551630068469114
974757492440948737,0.003376603525200159,0.001978685154510002,0.0021869272265778016,0.002111653100613847,0.0014814360013635807,0.0014113486397704207,0.001525578939661867
974757517019492352,0.0009669391434704552,0.0010496747753907221,0.0009616562992936776,0.0010266319611061216,0.0007506867665631714,0.0008799556411053832,0.000800013054482996
974757529837187072,0.0009669391434704552,0.0010496747753907221,0.0009616562992936776,0.0010266319611061216,0.0007506867665631714,0.0008799556411053832,0.000800013054482996
974757593599094785,0.0019387503766552536,0.0015699166024105346,0.0020016682190050024,0.0038726667746271006,0.003589444467729485,0.0021492327237236947,0.005766020559996675
974757602184908803,0.00023476995316153856,0.00018996389027636014,0.0002430086944241769,0.0004695754879604738,0.00043517075885191736,0.0002603476474893876,0.0006992547364426293
974757607314526208,0.00023476995316153856,0.00018996389027636014,0.0002430086944241769,0.0004695754879604738,0.00043517075885191736,0.0002603476474893876,0.0006992547364426293
