created_at,id_str,text,truncated,geo,coordinates,place,retweet_count,favourite_count,in_reply_to_status_id_str,in_reply_to_user_id_str,lang
Thu Jun 28 16:15:20 +0000 2018,1012368863319810050,"We provide technical &amp; financial support to countries in order to help fill the data gaps on violence against women &amp; girls.

Here's a recent example from Jamaica:
https://t.co/fXUUZYjLRi",True,,,,19,,,,en
Thu Jun 28 15:15:13 +0000 2018,1012353732292632577,"Eddie Ndopu describes himself as “black, queer, disabled and brilliant.”

By the end of the year, the 27-year-old South African hopes to become the first person with a disability to go to space. v @NBCNews https://t.co/yz81ajcIif",True,,,,23,,,,en
Thu Jun 28 14:52:07 +0000 2018,1012347920887185409,"RT @antonioguterres: Everyone is entitled to fundamental human rights. They do not depend on nationality, gender, age, religion or migratio…",False,,,,0,,,,en
Thu Jun 28 14:26:27 +0000 2018,1012341459729645577,"RT @unwomenasia: . @MonashUni's new research says if you #empower women economically, they can take more part in community decision-making,…",False,,,,0,,,,en
Thu Jun 28 13:35:10 +0000 2018,1012328554225393664,"In 2011, @manal_alsharif posted a video of herself driving in Saudi Arabia &amp; inspired a women's right to drive campaign.

It's been a long road, but the ban was officially lifted on 25 June 2018! 🚗✊ #ThursdayThoughts #TBT https://t.co/a72eEgWNCN",True,,,,186,,,,en
Thu Jun 28 10:35:06 +0000 2018,1012283240093233153,"Sylvia Nansat Nwantu-Julde is a teacher in Nigeria. She is teaching girls about their rights &amp; empowering them to be who they want to be:
https://t.co/K5ArdT2Ebl",True,,,,38,,,,en
Thu Jun 28 07:35:06 +0000 2018,1012237941224235008,"For Finland🇫🇮, one of our top 5 donors, gender equality is a top priority.

@AMVirolainen, Minister for Trade and International Development of Finland, explains why: https://t.co/QMKYKDSUtB https://t.co/MDnzfIXYam",True,,,,34,,,,en
Thu Jun 28 04:35:03 +0000 2018,1012192632351666177,"When girls in Tanzania flee their homes, escaping child marriage, domestic abuse, sexual assault or FGM, they find refuge in this safe house:
https://t.co/wUSXlHrasH",True,,,,127,,,,en
Thu Jun 28 01:36:00 +0000 2018,1012147570791993344,"We support the role of women in leadership, conservation &amp; disaster risk management to #SaveOurOceans, and our future. https://t.co/5YGbdcyCVl",True,,,,126,,,,en
Thu Jun 28 01:07:01 +0000 2018,1012140276356407296,"RT @NorwayUN: #HERstory👩🏽‍💼We agree with @antonioguterres the UN can not function without women! 

Congratulations with the book on Female…",False,,,,0,,,,en
Thu Jun 28 01:05:51 +0000 2018,1012139982155341834,"RT @unwomenindia: ""Whether I have a baby boy or #girl, it doesn't matter. What matters is that I raise my child to think of themselves as #…",False,,,,0,,,,en
Thu Jun 28 01:04:24 +0000 2018,1012139619004157952,RT @antonioguterres: The world is still dominated by men. Changing attitudes is one of the most difficult challenges. Projects like HERstor…,False,,,,0,,,,en
Wed Jun 27 22:35:06 +0000 2018,1012102044650524672,"The results of the first national survey on gender-based violence in Jamaica shows a high prevalence rate of 27.8%. Find out more:
https://t.co/fXUUZYjLRi",True,,,,19,,,,en
