node_x,node_y,weight,year
21,2323,1,2017
21,2482,3,2017
21,2512,3,2017
21,2515,1,2017
22,106,1,2017
22,732,1,2017
22,1209,1,2017
22,1523,1,2017
22,1875,2,2017
22,2045,1,2017
22,2118,1,2017
22,2482,2,2017
24,349,1,2017
24,417,1,2017
24,619,1,2017
24,890,1,2017
24,963,1,2017
24,1150,1,2017
24,1214,1,2017
24,1331,1,2017
24,1460,1,2017
24,1478,1,2017
24,1678,1,2017
24,2045,1,2017
24,2136,1,2017
24,2222,1,2017
24,2482,1,2017
24,2512,1,2017
24,2515,1,2017
25,188,1,2017
25,214,1,2017
25,309,1,2017
25,765,1,2017
25,1863,1,2017
25,1919,1,2017
26,341,1,2017
26,1009,1,2017
26,1316,1,2017
26,2220,1,2017
26,2363,1,2017
28,1285,1,2017
28,1717,1,2017
28,1805,1,2017
28,1999,1,2017
28,2512,1,2017
29,625,1,2017
29,638,1,2017
29,781,1,2017
29,918,1,2017
29,1372,1,2017
29,2048,1,2017
29,2258,1,2017
31,21,1,2017
31,37,1,2017
31,85,1,2017
31,120,1,2017
31,122,1,2017
31,146,1,2017
31,233,1,2017
31,297,1,2017
31,375,1,2017
31,445,1,2017
31,486,1,2017
31,488,1,2017
31,509,1,2017
31,529,1,2017
31,553,1,2017
31,618,1,2017
31,649,1,2017
31,681,1,2017
31,709,1,2017
31,766,3,2017
31,777,1,2017
31,922,1,2017
31,933,1,2017
31,942,1,2017
31,950,5,2017
31,963,1,2017
31,970,2,2017
31,974,6,2017
31,1060,1,2017
31,1125,1,2017
31,1130,1,2017
31,1145,1,2017
31,1207,1,2017
31,1209,2,2017
31,1225,1,2017
31,1255,1,2017
31,1262,1,2017
31,1280,1,2017
31,1282,2,2017
31,1389,1,2017
31,1394,1,2017
31,1478,1,2017
31,1487,1,2017
31,1503,1,2017
31,1529,1,2017
31,1587,2,2017
31,1593,2,2017
31,1603,1,2017
31,1604,1,2017
31,1706,1,2017
31,1733,1,2017
31,1734,1,2017
31,1833,1,2017
31,1834,1,2017
31,1915,1,2017
31,1934,2,2017
31,1968,2,2017
31,1995,1,2017
31,2018,1,2017
31,2020,1,2017
31,2081,1,2017
31,2176,1,2017
31,2241,1,2017
31,2261,1,2017
31,2474,2,2017
31,2480,1,2017
31,2482,8,2017
31,2489,1,2017
31,2512,3,2017
31,2515,1,2017
31,2526,1,2017
31,2530,1,2017
34,1593,1,2017
34,2482,1,2017
35,346,1,2017
35,782,1,2017
35,1213,1,2017
35,1623,1,2017
35,2315,1,2017
35,2430,1,2017
35,2530,1,2017
36,1025,1,2017
36,1428,1,2017
37,14,1,2017
37,21,1,2017
37,31,1,2017
37,75,1,2017
37,86,1,2017
37,221,1,2017
37,241,1,2017
37,270,1,2017
37,336,1,2017
37,340,1,2017
37,370,4,2017
37,414,1,2017
37,417,1,2017
37,486,1,2017
37,509,1,2017
37,528,1,2017
37,529,1,2017
37,533,2,2017
37,553,1,2017
37,638,2,2017
37,656,1,2017
37,759,1,2017
37,765,1,2017
37,780,1,2017
37,905,1,2017
37,931,1,2017
37,963,1,2017
37,966,1,2017
37,970,1,2017
37,974,2,2017
37,1002,1,2017
37,1008,1,2017
37,1020,1,2017
37,1113,1,2017
37,1114,1,2017
37,1124,3,2017
37,1141,4,2017
37,1225,1,2017
37,1252,1,2017
37,1254,1,2017
37,1255,1,2017
37,1265,1,2017
37,1293,1,2017
37,1298,1,2017
37,1331,1,2017
37,1428,1,2017
37,1437,1,2017
37,1488,1,2017
37,1567,1,2017
37,1593,1,2017
37,1604,1,2017
37,1623,1,2017
37,1661,1,2017
37,1662,1,2017
37,1666,1,2017
37,1667,1,2017
37,1752,1,2017
37,1757,1,2017
37,1778,1,2017
37,1780,1,2017
37,1834,1,2017
37,1837,1,2017
37,1892,1,2017
37,1896,1,2017
37,1939,1,2017
37,1968,1,2017
37,2021,1,2017
37,2044,1,2017
37,2045,1,2017
37,2081,1,2017
37,2103,1,2017
37,2119,1,2017
37,2151,1,2017
37,2171,1,2017
37,2190,1,2017
37,2191,1,2017
37,2230,1,2017
37,2231,2,2017
37,2258,4,2017
37,2261,2,2017
37,2315,1,2017
37,2361,1,2017
37,2369,1,2017
37,2448,1,2017
37,2462,1,2017
37,2474,1,2017
37,2482,10,2017
37,2502,1,2017
37,2512,5,2017
37,2515,1,2017
37,2526,1,2017
38,49,1,2017
38,1623,1,2017
38,1646,1,2017
38,1755,1,2017
38,1875,1,2017
38,2315,1,2017
40,845,1,2017
40,961,1,2017
40,1229,1,2017
40,2400,1,2017
41,315,1,2017
41,477,1,2017
41,911,1,2017
41,1055,1,2017
41,1141,1,2017
41,1184,1,2017
41,1265,1,2017
41,1958,1,2017
41,2309,1,2017
41,2482,2,2017
41,2489,1,2017
42,513,1,2017
42,575,1,2017
42,733,1,2017
42,740,1,2017
42,866,1,2017
42,1055,1,2017
42,1141,2,2017
42,1257,1,2017
42,1261,2,2017
42,1460,1,2017
42,1549,1,2017
42,1805,1,2017
42,1958,3,2017
42,2240,1,2017
42,2367,1,2017
42,2451,1,2017
42,2482,2,2017
