created_at,id,text,retweet_count,favorite_count,original_retweet_count,original_favorite
Tue Jun 12 00:00:30 +0000 2018,1006325330376839173,"#Bluecarbon is abundant along the shores of #Indonesia. Stored in #mangroves and #seagrass meadows, it promises economic advantage and #climatechange mitigation. Join us this July at the #BlueCarbonSummit and lets build a roadmap together! #ThinkLandscape @AIPI_Id @PerpusnasRI https://t.co/4GOSRzj3c6",7,7,,
Tue Jun 12 00:00:27 +0000 2018,1006325318309896192,"“CO2 levels are continuing to grow at an all-time record rate because emissions from coal, oil, and natural gas are also at record high levels” 

“Many of us had hoped to see the rise of #CO2 slowing by now, but sadly that isn’t the case”

https://t.co/qeDPvMOpyi #ClimateChange https://t.co/GGf7gTWWUl",0,0,6.0,7.0
Tue Jun 12 00:00:25 +0000 2018,1006325310558744577,NOTHING about this is ok @DanielAndrewsMP @timpallas @LilyDAmbrosioMP HUGE areas of forest trashed for paper! #RubiconForest #extinction #climatechange https://t.co/jonyfYK4yO,0,0,122.0,50.0
Tue Jun 12 00:00:13 +0000 2018,1006325260453543936,UH OH! Energy in Trump’s America: Who’s Picking Winners and Losers Now? https://t.co/4bznlibvAg #tcot #tlot #climatechange #solar,0,0,,
Mon Jun 11 23:59:57 +0000 2018,1006325195324477440,"Universities ranked by #climatechange curricular offerings - @columbia tops the list.
https://t.co/aa6Q5M95d6 https://t.co/8pCdZGJlMj",0,0,30.0,66.0
Mon Jun 11 23:59:52 +0000 2018,1006325174382333952,"When it comes to #climatechange and #flood control, think #resilience, not resistance. @SSL_UMB My column in today's BostonGlobe https://t.co/d6IEPlt3o3 here. @BostonHarborNow",0,0,4.0,13.0
Mon Jun 11 23:59:49 +0000 2018,1006325161111388160,I just sent a message straight to the Blackberries of local MPs and Cabinet members to #DefendOurCoast. Join me! https://t.co/oYLWOSjBRE #HealthyStrait #bcpoli #cdnpoli #stopkm #climatechange #oilspills,0,0,,
Mon Jun 11 23:58:58 +0000 2018,1006324948229656576,At the G-7 meeting #Trump refused to meet with world leaders about combating #ClimateChange. Instead he sent Aides to plug Fossil fuel and coal. All of the aides worked for the oil industry. We are in dangerous times. https://t.co/lUoQ4elKPD,0,0,504.0,454.0
Mon Jun 11 23:58:47 +0000 2018,1006324900670377984,At the G-7 meeting #Trump refused to meet with world leaders about combating #ClimateChange. Instead he sent Aides to plug Fossil fuel and coal. All of the aides worked for the oil industry. We are in dangerous times. https://t.co/lUoQ4elKPD,0,0,504.0,454.0
Mon Jun 11 23:58:42 +0000 2018,1006324881049489409,"Change climate before it changes you. 
#ClimateChange #ClimateAction",0,0,4.0,18.0
Mon Jun 11 23:58:39 +0000 2018,1006324866276966400,A Climate Change Free Lunch? .. https://t.co/T7ozeL491U #climatechange,0,0,,
Mon Jun 11 23:58:36 +0000 2018,1006324854348566529,"How does climate change compromise food access for many consumers?
https://t.co/nb9jeqOkzU #climatechange #climateaction 
#environment 
#energy https://t.co/7PxhZPk62A",0,0,1.0,0.0
Mon Jun 11 23:58:31 +0000 2018,1006324833133780992,"""Global grain prices have been going up because of demand and biofuels,"" says michtigch, a researcher with UW. 

""That has made markets tighter, so when you have a yield shock, that has really big implications for the market."" https://t.co/tf5LRuDjnj #ClimateChange (Collected f…",0,0,5.0,3.0
Mon Jun 11 23:58:21 +0000 2018,1006324791996018690,WE'RE GOING TO BLOW PAST 2C WITHOUT BREAKING SWEAT. #ParisAgreement #ClimateChangeIsReal,0,0,4.0,2.0
Mon Jun 11 23:58:07 +0000 2018,1006324732445089792,"High CO2 levels fed the rise of large plants, which fed the rise of large dinosaurs. I finally get it. Climate change deniers are just trying to prove that humans and dinosaurs could have coexisted in the biblical past by making it happen in the near future.
#climatechange",0,4,,
Mon Jun 11 23:58:01 +0000 2018,1006324707656962048,"Climate change is having a drastic effect on the rainy season in the Azawak of West Africa. These plains were once considered the best pasture land in all of West Africa. #PermanentWaterInsufficiency #Desertification, #ClimateChange https://t.co/M5VYkyFqRc https://t.co/E87B8i3TTl",1,2,,
Mon Jun 11 23:57:34 +0000 2018,1006324592082812929,The world's top 10 battles for #environmentaljustice. Together we can ensure #CleanAir &amp; #CleanWater becomes a #HumanRight for everyone. https://t.co/NE8WqH80yf #science via @CosmosMagazine #PlasticPollution #CoalAsh #KeepItInTheGround #ClimateChange #FoodJustice @HipHopCaucus,0,0,42.0,63.0
Mon Jun 11 23:57:28 +0000 2018,1006324569169223680,At the G-7 meeting #Trump refused to meet with world leaders about combating #ClimateChange. Instead he sent Aides to plug Fossil fuel and coal. All of the aides worked for the oil industry. We are in dangerous times. https://t.co/lUoQ4elKPD,0,0,504.0,454.0
Mon Jun 11 23:57:24 +0000 2018,1006324552513699840,"The federal government won't lead on climate, but #WeAreStillIn on the goals of the #ParisAgreement. Sign up to learn how.",0,0,1349.0,2434.0
Mon Jun 11 23:57:20 +0000 2018,1006324533547229184,"The federal government won't lead on climate, but #WeAreStillIn on the goals of the #ParisAgreement. Sign up to learn how.",0,0,1349.0,2434.0
Mon Jun 11 23:57:19 +0000 2018,1006324532649476097,"While Trump indicated his plan to withdraw the U.S. from the #ParisAgreement a year ago, the number of U.S. cities, universities, and businesses that have reaffirmed their commitment to climate action is now in the thousands—and rising. Take action: https://t.co/xq8dhVhBRS https://t.co/8PO1xkGr6D",0,0,119.0,196.0
Mon Jun 11 23:56:54 +0000 2018,1006324427368357888,The world's top 10 battles for #environmentaljustice. Together we can ensure #CleanAir &amp; #CleanWater becomes a #HumanRight for everyone. https://t.co/NE8WqH80yf #science via @CosmosMagazine #PlasticPollution #CoalAsh #KeepItInTheGround #ClimateChange #FoodJustice @HipHopCaucus,0,0,42.0,63.0
Mon Jun 11 23:56:39 +0000 2018,1006324364256501761,G6 leaders advance climate agenda while Trump’s US defends fossil fuels #auspol #qldpol #StopAdani #ClimateChange https://t.co/errfxIrV1a https://t.co/LbuNcPZtfA,0,0,11.0,13.0
Mon Jun 11 23:56:25 +0000 2018,1006324306454855680,"#renewables #RenewableEnergy #sustainability #climatechange #emissions #energy If renewable energy is to make an impact on emissions it volume must reflect the volumes of fossil fuels, see https://t.co/DXLuSmRwMs",1,0,,
Mon Jun 11 23:56:19 +0000 2018,1006324281205313536,Judge rules #EPA must provide evidence used for Pruitt's #ClimateChange claims - https://t.co/yUQWl8i97q,0,0,1.0,0.0
Mon Jun 11 23:55:58 +0000 2018,1006324191807717376,Citizens initiatives: Get fired up about #climatechange: Seattle Times https://t.co/GCKgpVbAc2,0,0,,
Mon Jun 11 23:55:46 +0000 2018,1006324140167479296,"What Is Low-Carbon Technology? Learn more here: https://t.co/EMdVF4xEnz #climatechange #climateaction 
#environment 
#energy https://t.co/yiYSXC0L79",0,0,1.0,0.0
Mon Jun 11 23:55:12 +0000 2018,1006324000216240133,"#Belgium🇧🇪 Foreign Minister @dreynders had constructive exchange w/ @UN Security Council permanent member @Chinamission2un, Ambassador MA Zhouxu.

👉Future collaboration in #UNSC
👉#DPRK
👉#ChildrenNotSoldiers
👉#DRC #Burundi
👉#Syria
👉multilateralism, #JCPOA, #ParisAgreement https://t.co/Y77Tmko5ac",0,0,7.0,5.0
Mon Jun 11 23:55:10 +0000 2018,1006323988354813952,"#Climatechange activists push public officials to attack the energy industry yet again, this time in Boulder:  https://t.co/5tefrzuBkq https://t.co/SAtQOD8Ggc",0,0,177.0,233.0
Mon Jun 11 23:55:07 +0000 2018,1006323976002572288,"The overall value of maize is decreased significantly when used for biofuel. Instead, considering the growing global population, we need to use this crop to address hunger issues first and foremost. #Sustainability #climatechange #GlobalWarming @wifarmersunion https://t.co/Gwcuvd0vi0",0,0,3.0,3.0
Mon Jun 11 23:55:04 +0000 2018,1006323964694671361,"Fighting climate change and a cost-competitive way to make gasoline. @CarbonEngineer #co2 #climatechange 
https://t.co/fpmN0p4cse",0,0,1.0,1.0
Mon Jun 11 23:54:42 +0000 2018,1006323873623638016,"Coloradans need an Attorney General committed to protecting our land, air and water for our children. Phil Weiser is running to be #Colorado’s AG to take on this challenge. 
Read more: https://t.co/pIFGzYserS
#copolitics #environment #cleanair #climatechange https://t.co/sVj5hIOUlD",0,0,4.0,10.0
Mon Jun 11 23:54:31 +0000 2018,1006323826706276352,"Fixing #climatechange is good #business, whatever #PresidentTrump says. Someone from #Aust State &amp; Fed govt's should have attended this #summit @JoshFrydenberg. @DanielAndrewsMP @GladysB @AnnastaciaMP @TurnbullMalcolm @billshortenmp @RichardDiNatale https://t.co/RqJaHvK8yQ",0,0,,
Mon Jun 11 23:54:27 +0000 2018,1006323809098448896,Judge rules #EPA must provide evidence used for Pruitt's #ClimateChange claims - https://t.co/yUQWl8i97q,1,0,,
Mon Jun 11 23:54:19 +0000 2018,1006323775787421696,"Why Are Arctic Ecosystems Under Threat? Learn more here: https://t.co/aOzVUVi62r #climatechange #climateaction 
#environment 
#energy https://t.co/VwcUIluGWA",0,1,,
Mon Jun 11 23:54:18 +0000 2018,1006323772385685504,"The federal government won't lead on climate, but #WeAreStillIn on the goals of the #ParisAgreement. Sign up to learn how.",0,0,1349.0,2434.0
Mon Jun 11 23:54:18 +0000 2018,1006323772385685504,"The federal government won't lead on climate, but #WeAreStillIn on the goals of the #ParisAgreement. Sign up to learn how.",0,0,1349.0,2434.0
Mon Jun 11 23:54:17 +0000 2018,1006323768149585923,"What Is Low-Carbon Technology? Learn more here: https://t.co/EMdVF4xEnz #climatechange #climateaction 
#environment 
#energy https://t.co/yiYSXC0L79",1,0,,
Mon Jun 11 23:54:08 +0000 2018,1006323728802861056,"#QuoteOfTheDay: ""#Climatechange is real, it is happening right now. It is the most urgent threat facing our entire species, and we need to work collectively together and stop procrastinating"" @LeoDiCaprio https://t.co/tsDbtnUNWM",0,0,19.0,22.0
Mon Jun 11 23:54:07 +0000 2018,1006323726953005056,"Candace Owens exposed.

#CandaceOwens #RedPillBlack #ClimateChange #JoeRogan https://t.co/DNznP09wuV",0,0,41.0,156.0
