created_at,id,text,retweet_count,favorite_count,original_retweet_count,original_favorite
Sun Mar 03 04:58:51 +0000 2019,1102070809349238784,"#CLIMATESTRIKE COLOMBIA 🇨🇴 

Here’s to my awesome new friend Alejandro and all the Colombian youth taking climate action!

#vivacolombia #tierraquierida #FridaysforFuture https://t.co/D6lKpbldHJ",0,0,23.0,63.0
Sun Mar 03 04:58:50 +0000 2019,1102070804806811649,"REAL leaders like #DougFord understand the relationship between draconian #ClimateChange policies and economic ruin. 

#onpoli #CDNpoli 🇨🇦 #Auspol #AusVotes2019 https://t.co/vZwNz90MjB",0,0,2.0,4.0
Sun Mar 03 04:58:32 +0000 2019,1102070729598795776,"Ok Twitter I've had an idea, for every like and retweet this tweet gets, I will pay for a tree to be planted...a little Saturday challenge.
#climatechange #environment #Twitter #GlobalGreening",0,0,1890.0,3594.0
Sun Mar 03 04:58:31 +0000 2019,1102070725697888256,We as individuals are not solely responsible. But we must take the small steps now and voice our demand for large scale change from those perpetrating the worst effects of #climatechange: corporations and governments. We must for them to take responsibility and proper action.,0,1,,
Sun Mar 03 04:58:23 +0000 2019,1102070695238918144,"""WHAT is to be done? The most important thing is for scientists and conservationists to start telling the truth about #renewables and #nuclear, and the relationship between energy density and environmental impact..."" https://t.co/iF6mV18ETo via @JWSpry #ClimateChange #Energy",0,0,26.0,36.0
Sun Mar 03 04:58:19 +0000 2019,1102070677840945152,"@JulianCastro, for many reasons you have my support for president of USA, but candidate @jayinslee is making #climatechange his #1 and I am a single-issue voter. This is my issue. Help me make this an easier choice! https://t.co/lo28HLfDlD",0,1,,
Sun Mar 03 04:58:11 +0000 2019,1102070642151575552,"ExxonMobil also has long lied about its ongoing support for climate science denier groups

ExxonMobil's own corporate giving reports show that from 1998 to last year, they spent at least $36 million on climate science disinformation groups

#climatechange https://t.co/A20XNBiqfB",0,0,385.0,418.0
Sun Mar 03 04:58:10 +0000 2019,1102070640595488769,"Ok Twitter I've had an idea, for every like and retweet this tweet gets, I will pay for a tree to be planted...a little Saturday challenge.
#climatechange #environment #Twitter #GlobalGreening",0,0,1890.0,3594.0
Sun Mar 03 04:58:09 +0000 2019,1102070635285618690,"President of @HeartlandInst, @CongHuelskamp, discusses the importance of #fossilfuels to the economy and how #climatechange is used to promote #socialism on American Thought Leaders 🇺🇸 with @JanJekielek. #CPAC2019

Watch full: https://t.co/mG02tZm2f1 https://t.co/YzT5iWNC0p",0,0,16.0,26.0
Sun Mar 03 04:58:04 +0000 2019,1102070614108467205,"“The science is crystal clear, we need to phase out fossil fuels starting with the most damaging, the ‘unconventional’ fossil fuels such as tar sands and ‘fracking’.”

#climatechange #science #ActOnClimate https://t.co/g34xx4t8mG",0,0,269.0,341.0
Sun Mar 03 04:57:51 +0000 2019,1102070557950980096,"Day 84 — #ringthebellforclimate 

Week 7 - #ClimateStrike

Des Moines, Iowa, State Capitol 11:58
Getting the place warmed up for #YouthStrike4Climate on March 15th (see @iowastrike)

 @FFF_USA @Strike4Youth

I had company. (Waiting for footage) https://t.co/y5Ypc0RPCY",0,0,124.0,594.0
Sun Mar 03 04:57:46 +0000 2019,1102070538757795841,"@audubonsociety @JJ_Angelus BEAUTIFUL PHOTO AUDUBON!!!  #NationalAudubonSociety
#ProtectBirds #ClimateChange #BelieveScience
#ProtectEPA #NatureConservancy",1,2,,
Sun Mar 03 04:57:43 +0000 2019,1102070526426542081,"“Attributing particular weather phenomena to #climatechange, you can’t do that — but the bigger picture and trends over time, that you can.” https://t.co/FqBaFc9Yra #ClimateEmergency #ClimateStrike https://t.co/qPYtYisdsh",0,0,4.0,7.0
