word	proposed_splitting	count_pre	count_post
motherearth	['mother', 'earth']	8	1.0
cop21	['conference', 'of', 'the', 'parties']	9	
refugees		5	4.0
parisaccord	['paris', 'accord']	6	3.0
regenerativeagriculture	['regenerative', 'agriculture']	5	4.0
tiredearth	['tired', 'earth']	9	
tesla		6	3.0
saturdaymotivation	['saturday', 'motivation']	1	8.0
summer		8	1.0
mangroves		8	1.0
anthropocene		7	2.0
ireland		6	3.0
plantbased	['plant', 'based']	5	4.0
hunger		6	3.0
climatism		9	
actnow	['act', 'now']	9	
palmoil	['palm', 'oil']	5	4.0
nswpol	['newsouthwales', 'politics]	4	5.0
retweet		1	8.0
lowcarbon	['low', 'carbon']	7	2.0
southasia	['south', 'asia']	8	1.0
iran		6	3.0
life		2	7.0
ecosystems		7	2.0
soilhealth	['soil', 'health']	6	3.0
usa		1	8.0
marine		1	8.0
florida		8	1.0
heatwave2018	['heatwave', '2018']	9	
trumptrain	['trump', 'train']	3	5.0
bim	['building', 'information', 'modelling']	2	6.0
data		5	3.0
democrats		1	7.0
realestate	['real', 'estate']	2	6.0
romania		2	6.0
genderequality	['gender', 'equality']	3	5.0
climatechangeshealth	['climate', 'changes', 'health']	5	3.0
putin		8	
russia		4	4.0
foodwaste	['food', 'waste']	3	5.0
montreal		8	
vanpoli	['vancouver', 'politics']	4	4.0
alarmism		8	
greenhouse	['green', 'house']	7	1.0
